"clust","VPD_kPa.mean","GRIDMET_Precip_mm.mean","EVI.mean","jrcStandingWater.mean","irrWater.mean","pdsi.mean","Mean_Bird_Diversity.mean","competent_bird_abundance.mean","abund_mean","NLCD_majority2","Chick_mean","Cattl_mean","CApop_mean","mosPerTrapNight.mean","VPD_kPa.mean_std","GRIDMET_Precip_mm.mean_std","EVI.mean_std","jrcStandingWater.mean_std","irrWater.mean_std","pdsi.mean_std","Mean_Bird_Diversity.mean_std","competent_bird_abundance.mean_std","abund_mean_std","Chick_mean_std","Cattl_mean_std","CApop_mean_std","xcoord.x","xcoord_scale","ycoord_scale","ycoord.y"
4,2.13184872328066,0.447058808569815,0.177668124500701,854856.096418004,1247148.62116811,-1.62174677276103,3.12992001043322,23.7111358840162,936115021.428692,"Developed",26736.015741376,3165.56965462026,1.18028254903524,23.8625490196078,-0.143407993348502,-0.0787945389767962,-1.32850348009226,1.37960008120741,-0.307658255589761,-1.40628492242501,-0.55677199380712,0.579031253742212,0.964741142272087,0.545295812161912,1.66023369204754,-0.637101427736864,-121.34651315528,0.612655919987842,-1.7846871684977,37.9465322998264
6,2.33884349003816,0.363732673688686,0.340805255341372,264.007088338169,5691975.64853125,-2.06299723711004,3.07585218554953,26.6176053115923,845834116.003381,"Agriculture",69994.6328125,4611.4501953125,0.173833329905142,2.9865306122449,0.60320482175063,-0.271073432868936,1.1674973633051,-0.387421913888684,1.78774191577501,-2.03301482724403,-0.766663034289353,1.12215131084191,0.269000631471693,2.66688831037667,2.89952882347873,-0.792506382052456,-121.040499,1.76842620558386,-2.04477064906956,37.8711502948134
13,2.22727322137215,0.465174950857828,0.191037124488773,2236.15699199602,607011.345225774,-1.51469281386402,3.22539901272331,26.8457302134079,761005330.929577,"Developed",20008.388671875,1439.80029296875,13.4530522682305,1.25183673469388,0.20078019201259,-0.036990706293315,-1.12395755560743,-0.383344141228603,-0.60943462381489,-1.25423087854086,-0.186122958489296,1.16478007841965,-0.384723674679083,0.215343444568368,0.181039866779051,1.2579263404657,-121.287109,0.837016644251485,-1.67628859024375,37.97795029743
14,2.19475840825865,0.368811928606618,0.239411478479431,320798.310995799,3354921.14373915,-1.60170991668098,3.31883824656945,27.48918363756,797896805.954853,"Agriculture",28229.00390625,3047.43798828125,11.7131020955483,95.0660784313725,0.0835019799525988,-0.25935281821653,-0.383829126614719,0.275340089480164,0.685997263017325,-1.37782558262024,0.176607705376291,1.28501958864835,-0.10042331728513,0.618518506389797,1.55898051459507,0.989262137684765,-121.367722267372,0.532552234858013,-1.54286888099126,38.0166203627859
15,2.23883640252315,0.55539119180205,0.390774643607671,1124.08469166475,5468485.98206795,-1.38449863903159,3.20290725071489,25.6011272194116,923147423.83738,"Agriculture",30275.498046875,3275.82104492188,1.29191775250209,1.75428571428571,0.242487619528214,0.171187424668937,1.93202984351981,-0.385643549612273,1.68238342093989,-1.06930963903328,-0.273435872230163,0.932206206232229,0.864807685363003,0.718887563709679,1.75473251638949,-0.619863932426596,-121.231639,1.046518644848,-1.49776110285149,38.0296942987021
16,2.14722331667455,0.402721140368286,0.229812001998038,238413.284202004,565123.386706623,-1.44028418035811,3.28516379159508,25.729745509488,825975764.623025,"Developed",45077.74609375,2645.82885742188,14.7150554286086,0.544146341463415,-0.0879531205774386,-0.181105750359737,-0.530701278100162,0.104994311384552,-0.629181631947897,-1.14854460835489,0.0458836304306841,0.956240580166321,0.115964289313463,1.44485479380699,1.21475274016632,1.4527911580411,-121.283933739944,0.849009132698313,-1.1119218137887,38.1415250814892
17,2.18454885893678,0.505385652039308,0.342758567814341,1400.79982144225,5336548.98769356,-1.45610040715648,3.23005470966875,26.6460149388746,737965157.939258,"Agriculture",45165.0631630357,3068.18281419811,0.406104073546885,0.737857142857143,0.0466769892559805,0.0557973386199897,1.19738307696712,-0.385071391588816,1.62018509490391,-1.17100917919804,-0.168049564966411,1.12746010172246,-0.562280397772379,1.44913720623034,1.57676134851434,-0.756641657217464,-121.274194,0.885794692524522,-1.321127778842,38.0808892999635
19,2.13770473621145,0.388701197965734,0.214672871573259,373594.738819866,419328.666042034,-1.67316533847154,3.30548392622828,27.1151396809776,925554481.78977,"Developed",26450.1137528991,3092.23014173531,14.1509860952695,3.26705882352941,-0.122285844378247,-0.213457413153649,-0.762330228013805,0.384506147056016,-0.697912829086494,-1.47931725983279,0.124766296971766,1.21512352398331,0.883357429868029,0.53127392345983,1.59737282719605,1.3656936996575,-121.344954166107,0.618543991930335,-1.64987058110222,37.9856072331691
20,2.05502084576787,0.264590193318879,0.312567257324063,585722.890390251,4166334.01228913,-0.985445116278733,3.24042074825155,26.8599681088173,936071811.341943,"Agriculture",26551.8975275871,1715.87704011868,1.35865331264062,11.5838775510204,-0.420519723304079,-0.499849272411051,0.735455519098007,0.823119041188894,1.06851713462094,-0.502514141828356,-0.127808652214653,1.16744065571468,0.964408148183416,0.536265846628872,0.417671150633569,-0.60955935224766,-121.512340358887,-0.0136489458674595,-0.768642765194397,38.2410203008899
22,2.16687968136999,0.206483900870233,0.224862113273474,668410.137011174,892589.409531776,-0.433051790623949,3.2122514444568,27.6731100849612,840064558.620381,"Developed",7831.33649004807,496.885477535319,11.5610808575912,3.33,-0.0170542567570341,-0.633932218369574,-0.60643465876933,0.994089712831449,-0.474806139691445,0.282077477629881,-0.237161756317844,1.31938917178138,0.224538130992436,-0.381872654986022,-0.627152585663477,0.965788669683923,-121.549522147751,-0.154079073013051,0.13783390606801,38.5037514394729
26,2.14617524769238,0.444398348893632,0.28553332236679,110.691707835478,3035000.63991356,-1.28371513619912,3.23333583671091,27.0592315413069,660970294.753501,"Agriculture",63139.5206796975,2978.2742143692,0.14663287464649,5.0895652173913,-0.0917334177581553,-0.084933672209255,0.321835859943872,-0.387738920859515,0.53517891296402,-0.92616183468883,-0.155312245307007,1.20467619853678,-1.15563339073922,2.33068351558486,1.49969876491499,-0.79670638084672,-121.265335511281,0.919251896578823,-0.748748778266652,38.2467863288553
27,2.14951111121236,0.408578026480548,0.225932270969561,0,952161.533724198,-1.14581521783928,3.36094963693517,27.3380312966494,695505423.900957,"Developed",62867.3203125,1752.26904296875,9.49403010904725,6.11166666666667,-0.0797012369815457,-0.167590715911967,-0.590061228035102,-0.387967795763534,-0.44672238334437,-0.730295745718891,0.340083923608272,1.25677436877877,-0.889491970464187,2.31733361454415,0.448863514515531,0.646617149611473,-121.291487392573,0.820480101914349,-0.615216125170872,38.2854891295981
32,2.28432482452264,0.545742783947546,0.252004925378846,0,327048.298393299,0.103666003550707,3.60949135819908,22.5305297587875,797962174.60792,"Developed",18826.3903045581,577.667960731527,13.4283664828745,0.882307692307692,0.406560554006035,0.148923279179277,-0.191149177419595,-0.387967795763534,-0.741416051370371,1.04440436277895,1.30492171006536,0.358416214732087,-0.099919560484499,0.157373055342135,-0.557912191791068,1.25411462967834,-121.343342837092,0.624629743728838,0.587294427598166,38.6340220557098
35,2.16213043285955,0.236667202136485,0.239324473928207,168915.126462985,1435032.92932057,-0.340827965181506,3.21896253385341,29.152679367705,754013176.143498,"Agriculture",8584.7763671875,469.327362060547,7.20294558668787,4.84086956521739,-0.0341843990090774,-0.564282860580838,-0.385160297710573,-0.0387055600240761,-0.219084997490902,0.413067547922186,-0.211109339020602,1.59587023354743,-0.438607996281137,-0.344920655605952,-0.650773235764316,0.292852768097858,-121.536770329016,-0.105917336286368,0.264961971328266,38.5405979490308
39,2.2306676337258,0.375541378319157,0.283844993298041,54526.4041125728,3080592.68035195,-1.50830355434937,3.30561845298148,29.3835067376276,768538890.408554,"Agriculture",28229.00390625,3047.43798828125,7.20634941910707,2.88901960784314,0.213023553536494,-0.243824303074483,0.296004396819475,-0.275224702791552,0.556672115907429,-1.24515589657254,0.125288529191431,1.63900400028966,-0.326667073503491,0.618518506389797,1.55898051459507,0.293378350920666,-121.361251499723,0.556991368946023,-1.40512995657736,38.0565422996495
