"clust","VPD_kPa.mean","GRIDMET_Precip_mm.mean","EVI.mean","jrcStandingWater.mean","irrWater.mean","pdsi.mean","Mean_Bird_Diversity.mean","amecro_abundance.mean","amerob_abundance.mean","cowscj_abundance.mean","houfin_abundance.mean","houspa_abundance.mean","competent_bird_abundance.mean","trans_mean","abund_mean","bite_mean","airT_mean","NLCD_majority2","Chick_mean","Cattl_mean","CApop_mean","NumObservations.sum","MIR_Tar.mean","VPD_kPa.mean_std","GRIDMET_Precip_mm.mean_std","EVI.mean_std","jrcStandingWater.mean_std","irrWater.mean_std","pdsi.mean_std","Mean_Bird_Diversity.mean_std","amecro_abundance.mean_std","amerob_abundance.mean_std","cowscj_abundance.mean_std","houfin_abundance.mean_std","houspa_abundance.mean_std","competent_bird_abundance.mean_std","abund_mean_std","trans_mean_std","bite_mean_std","airT_mean_std","Chick_mean_std","Cattl_mean_std","CApop_mean_std","NumObservations.sum_std","MIR_Tar.mean_std","xcoord.x","xcoord_scale","ycoord_scale","ycoord.y"
3,2.15055387383844,0.314803955596142,0.351079479251963,76022.3991297621,5478237.2194683,-1.16345885393694,3.00925192029734,4.76438282937571,2.1691003877284,1.88815221809042,12.6015030037989,3.37716528274699,24.8003037217404,3.68204084531263,792181502.973359,0.089301020007286,23.1601341052866,"Agriculture",30115.2692871797,2980.57458030815,0.003812222164489,50,5.23535470269756,0.0453993074566579,-0.266424973676477,1.41446249307215,-0.245399253975498,1.7241720950878,-0.705386201640378,-1.02520494900933,0.649596961383759,0.260342473555214,-1.23732392619788,1.34245498260705,0.917364780652062,0.78255959386629,-0.102910127529913,-1.7856110642934,-0.523089867550896,-1.21490761421011,0.787768250757533,1.61730061699197,-0.876826307405922,1.88142792961258,0.225358419743237,-121.437460563196,0.317343580731957,-1.01972493822175,38.1601319888551
4,2.13184872328066,0.447058808569815,0.177668124500701,854856.096418004,1247148.62116811,-1.62174677276103,3.12992001043322,6.03465843616304,1.43265686378916,2.88329661265815,10.3086710102541,3.05185296115173,23.7111358840162,12.1278346793762,936115021.428692,0.1146831314595,24.7796013411701,"Developed",26736.015741376,3165.56965462026,1.18028254903524,40,3.42882757744327,-0.0186318222051106,0.101839410912842,-1.26835907287463,1.23312980998452,-0.28787150018923,-1.38771096145626,-0.55677199380712,1.39844000709803,-0.91446134234564,-0.477418637228293,0.456162129982377,0.638491073512364,0.579031253742212,1.01709013588342,0.205393939004626,0.699934795293145,0.389880592923374,0.61839527154087,1.78680406050829,-0.696256368456932,1.30372310443593,0.0489053655052827,-121.34651315528,0.661478548178345,-1.75293823751506,37.9465322998264
6,2.33884349003816,0.363732673688686,0.340805255341372,264.007088338169,5691975.64853125,-2.06299723711004,3.07585218554953,5.79868985868529,1.94996648918475,2.28053973674106,11.810262862919,4.77814636406218,26.6176053115923,10.0708899342298,845834116.003381,0.096955165386653,23.8524329200803,"Agriculture",69994.6328125,4611.4501953125,0.173833329905142,27,14.9434858118332,0.68994888173608,-0.130182681980142,1.25551148596979,-0.389218126813338,1.82581284953418,-2.0446694033853,-0.766663034289353,1.25933363734083,-0.0892285822472262,-0.937691679484786,1.03660157357146,2.1183546044099,1.12215131084191,0.314580818090833,-0.279508647958431,-0.154278604958199,-0.528883871848122,2.78657849627327,3.11160544493376,-0.850730705720473,0.552706831706276,1.1736029056423,-121.040499,1.81940238326637,-2.01169839233675,37.8711502948134
13,2.22727322137215,0.465174950857828,0.191037124488773,2236.15699199602,607011.345225774,-1.51469281386402,3.22539901272331,4.72536798158015,2.137421381448,6.07450668924279,10.7219506038497,3.18648355728731,26.8457302134079,14.6645535004307,761005330.929577,0.092938529307574,25.5150694941131,"Developed",20008.388671875,1439.80029296875,13.4530522682305,10,0,0.308023576335057,0.152283911366492,-1.06152924022273,-0.385474219787747,-0.592281128168966,-1.22832302258331,-0.186122958489296,0.626597230226835,0.209806870684964,1.95943115929101,0.615915112743713,0.753903035944785,1.16478007841965,-0.345503522563823,0.8033981010657,-0.347818255732773,1.11868238181617,0.281197063600824,0.205551961755802,1.18742333711168,-0.429391371094034,-0.286006349927733,-121.287109,0.886257324307299,-1.64509119998015,37.97795029743
14,2.19475840825865,0.368811928606618,0.239411478479431,320798.310995799,3354921.14373915,-1.60170991668098,3.31883824656945,5.05598970499338,2.35883363090143,4.36837530399342,12.0271117952484,3.67887320242334,27.48918363756,8.18295938311393,797896805.954853,0.096086786963197,24.5248058794853,"Agriculture",28229.00390625,3047.43798828125,11.7131020955483,50,5.59188881176829,0.196719462103642,-0.116039467992397,-0.31313672399428,0.219280562924245,0.714454522017854,-1.35787896621762,0.176607705376291,0.821502790104687,0.563012441906115,0.656606895389924,1.12042440026086,1.17600363460309,1.28501958864835,-0.0584372284202675,-0.724567957598524,-0.196120995831306,0.137394625265111,0.693225955297625,1.67856483139778,0.920367985795515,1.88142792961258,0.260182990936256,-121.367722267372,0.581225605663576,-1.51235034098162,38.0166203627859
15,2.23883640252315,0.55539119180205,0.390774643607671,1124.08469166475,5468485.98206795,-1.38449863903159,3.20290725071489,3.98510884568533,3.41606875013161,5.65984340304456,10.0391085194486,2.50099770110149,25.6011272194116,12.265372083525,923147423.83738,0.119483622805942,23.4584703569288,"Agriculture",30275.498046875,3275.82104492188,1.29191775250209,17,7.35294117647059,0.347606446801423,0.403491543481885,2.0285805428968,-0.387585365238938,1.71953501072959,-1.03448263224552,-0.273435872230163,0.190205392912663,2.24955568928552,1.64278884482526,0.351962908404332,0.166270876889323,0.932206206232229,0.916184433903966,0.237816901864131,0.93124412988185,-0.91927551509288,0.795799143384541,1.8878229139998,-0.679122097057002,-0.024997993470377,0.432194284916107,-121.231639,1.09614969047436,-1.46747207485935,38.0296942987021
17,2.18454885893678,0.505385652039308,0.342758567814341,1400.79982144225,5336548.98769356,-1.45610040715648,3.23005470966875,4.67704771244792,2.93809811685237,5.11669390613129,10.6433295537699,3.27084564967313,26.6460149388746,9.45960134542699,737965157.939258,0.094524763859767,24.0205898134727,"Agriculture",45165.0631630357,3068.18281419811,0.406104073546885,8,0,0.161770319385038,0.264250835766993,1.28573089596765,-0.387060052372741,1.65679395051692,-1.14108736091382,-0.168049564966411,0.598111839093309,1.48707804420906,1.22803277760665,0.585524192280389,0.826222366889054,1.12746010172246,-0.52478768163379,-0.423613354120765,-0.271386317356023,-0.362251170991346,1.54208525917372,1.69757246952615,-0.815080750901311,-0.544932336129365,-0.286006349927733,-121.274194,0.935126260832429,-1.29173747546508,38.0808892999635
19,2.13770473621145,0.388701197965734,0.214672871573259,373594.738819866,419328.666042034,-1.67316533847154,3.30548392622828,4.99769331209487,2.31347333962714,5.21573528427837,11.3931274250208,3.19511031995644,27.1151396809776,11.4991013275364,925554481.78977,0.107849933981828,25.2238729057719,"Developed",26450.1137528991,3092.23014173531,14.1509860952695,37,6.58049353701528,0.0014143742750645,-0.0606576852012279,-0.695864073160988,0.319508703133053,-0.681531382287443,-1.46426580625452,0.124766296971766,0.787136351688473,0.490651912487148,1.3036620706938,0.875358116472744,0.761298320803219,1.21512352398331,0.934914647475203,0.0571768176957236,0.370680507011798,0.830125231308262,0.604065458493124,1.71960605523148,1.29454534916793,1.13041165688293,0.356745240550609,-121.344954166107,0.667377591379139,-1.61880760780232,37.9856072331691
20,2.05502084576787,0.264590193318879,0.312567257324063,585722.890390251,4166334.01228913,-0.985445116278733,3.24042074825155,4.98863011903252,2.87603015687259,3.61115585236792,12.8389889942257,2.54516298631859,26.8599681088173,11.2713102885239,936071811.341943,0.124154739332862,23.6408894885329,"Agriculture",26551.8975275871,1715.87704011868,1.35865331264062,45,0.396825396825397,-0.281627608925182,-0.406245478158318,0.818645571574128,0.722210381903449,1.10031221026084,-0.440349363874245,-0.127808652214653,0.781793488249668,1.38806478133265,0.0783842079669382,1.43425505191276,0.20413152955374,1.16744065571468,1.01675390212035,0.00347753172083361,1.15631960188098,-0.738509850516726,0.609167005601429,0.458509828286602,-0.668879224164497,1.59257551702425,-0.24724631566632,-121.512340358887,0.0340066869931633,-0.742063550178555,38.2410203008899
22,2.16687968136999,0.206483900870233,0.224862113273474,668410.137011174,892589.409531776,-0.433051790623949,3.2122514444568,7.21783451227096,2.67124174281609,4.88558691240388,10.2526864287752,2.64576048869506,27.6731100849612,14.2356672169513,840064558.620381,0.10365773559718,24.6647757426622,"Developed",7831.33649004807,496.885477535319,11.5610808575912,1,0,0.101285513539648,-0.568042777450069,-0.538227813337104,0.879182913746301,-0.45647789411016,0.38208480418849,-0.237161756317844,2.09593681150392,1.06137820936177,1.05155645134687,0.434521323084351,0.290368651711156,1.31938917178138,0.269685745295515,0.702292775381645,0.168681472155609,0.276095786241569,-0.329134057801394,-0.658402436775236,0.897035084803548,-0.949325713753022,-0.286006349927733,-121.549522147751,-0.106685103938689,0.159800894584974,38.5037514394729
